recipe_id,title,category,ingredients_cleaned
ccbb80b27e5c4e1bbcd421b54ad7a8cc,Ayam Goreng Bakar Kecap,ayam,"ayam , minyak , bumbu kuning halus , bawang putih , kunyit , lengkuas , ketumbar , merica , air , garam kaldu bubuk , bumbu bakar , kecap , mentega , sambel , bawang merah , bawang putih , cabe hijau , cabe rawit , tomat hijau , garam gula"
6d75ed7a87294b2388069472b4c15f53,Somay Ayam Bumbu Kacang,ayam,"dada ayam , kulit lumpia instan , terigu , kanji , bawang putih , merica bubuk , royco , bumbu kacang , kacang , gula merah , royco , gula pasir , cabe , larutan maizena , kecap , pelengkap , gubis , telur puyuh , tahu putih"
edd468501f824c0e8e1ed8882a2ca62b,Ayam Kecap Cabe Ijo,ayam,"ayam potong , bersihkan , cabe ijo , potong serong , bawang bombai , potong , bawang putih , cincang , garam , gula pasir , lada , kaldu bubuk pake royco , kecap manis pake bango , bumbu ungkep , bawang merah , bawang putih , kunyit , jahe , lengkuas , geprek , serai , ketumbar , kemiri , daun jeruk , garam"
eb53a1df59b449a5b68bdc3af97f33de,Ayam Masak Kluwek,ayam,"kluwek , ayam paha , sayap ayam , kemiri , cabe merah , bawang merah , bawang putih , jahe , keping asam kering , bubuk kunyit , garam , gula , penyedap , air"
2ba04f2a46de498a8302c6c53072e8d4,Ayam Goreng Telur,ayam,"potong paha ayam ayam potong_potong , bawang putih , daun jeruk , daun salam , serai , garam , biji ketumbar , kunyit , telur ayam , air"
af99c792a3a04a32b547fad3da1f6454,Ayam Goreng Pemalas,ayam,"ayam , bumbu ayam goreng sajiku , lengkuas , makan minyak goreng , air matang"
5bf01654d25a468a8d57ef86ad63eec6,Nugget Ayam+Sayur,ayam,"telur , ayam , wortel , tepung trigu , tapioka , bawang putih , bawang merah , daun bawang+seledri , lada , tepung panir , royko"
b296f53811fe470fa054515d926f9bc8,Chicken Hainan & Nasi Hainan Simple Magic Com,ayam,"ayam hainan , paha ayam utuh paha atas paha , bawang putih , jahe , serai , daun salam , jeruk nipis lemon , bawang bombai , kecap ikan , minyak wijen , sejumput garam , air matang , kaldu ayam bubuk block , pake , nasi hainan , beras , bawang putih , jahe , serai digeprek , daun salam , minyak wijen , sejumput garam , kuah rebusan bumbu chicken hainan , margarin , saus hainan , bawang putih parut , kecap manis , kecap asin , minyak wijen , tambahan pelengkap , ketimun , daun bawang , bawang goreng , emping"
547814bd49bc4b409ec659c255887d73,Ayam Rica Rica Super Pedes,ayam,"ayam potong , bumbu , cabai merah , cabai rawit , bawang putih , bawang merah , kemiri , merica bubuk , biji ketumbar , gula merah , kecap manis , garam , penyedap , kunyit , jahe , lengkuas , serai , daun salam , daun jeruk , minyak goreng , air"
2f284c73e4e34009b55e833cb5787394,Ayam Goreng,ayam,"ayam rebus sebentar ngurangin lemaknya , bumbu , bawang putih geprek , bawang merah geprek , kunyit , biji ketumbar , daun salam , daun jeruk , serai geprek , garam"
fe950b6e660c488cabfab687c2b8be19,Ayam Cabe Ijo,ayam,"ayam broiler potong , air jeruk nipis , garam , minyak goreng utk menumis , daun jeruk , serai geprek , bumbu halus , bawang merah , bawang putih , cabe hujau , cabe rawit hijau , jahe , kunyit , kemiri , garam gula pasir"
73c41bcee0134ff1875d04a5a207ae0d,Ayam Fillet Asam Manis,ayam,"dada ayam tulang , tepung terigu , tepung maizena , putih telur , saus tomat , saus tiram , bawang bombai , bawang putih cincang halus , garam , gula pasir , merica bubuk"
74aece0a312749a8aee6f5542e63f81a,Ayam Ukep Bumbu Sederhana,ayam,"ayam broiler , bawang putih , biji ketumbar , kunyit , garam , gula , air"
